tweet_id,created_at,full_text,sentiment
47,2020-01-24 09:59:48+00:00,"RT @ConchaTacoLady: “#CHINA / #WUHAN 01/23/2020 - Testimonials: ""He didn't have a fever, cough or other symptom, he just fell on the floor…",Fear
48,2020-01-24 09:59:49+00:00,RT @BenKTallmadge: Only one lab in China can safely handle the virus - Wuhan National Biosafety Laboratory within the Chinese Academy of Sc…,Fear
49,2020-01-24 09:59:49+00:00,"RT @NewsBFM: Singapore has confirmed the first case of the Wuhan coronavirus in the country, involving a Chinese citizen. The 66 year-old W…",Neutral
50,2020-01-24 09:59:49+00:00,"RT @MothershipSG: Outrageous menu from Wuhan’s market shows live koalas, peacocks, wolf pups &amp; over 100 wild animals on sale https://t.co/6…",Anger
51,2020-01-24 09:59:49+00:00,RT @monieeehearts: Keep calm under any situation. STAY AWAY from anyone with mild symptoms of common cold/pneumonia. Hand sanitizer/wash ha…,Neutral
52,2020-01-24 09:59:51+00:00,"RT @arslan_hidayat: The people of #Wuhan are literally dropping like flies all over the city.

Like something out of a horror movie.

#WuFl…",Fear
53,2020-01-24 09:59:51+00:00,"RT @gretchenho: Surgical masks to counter #NovelCoronavirus, not the N95.
https://t.co/gsX4WAkiXe",Fear
54,2020-01-24 09:59:52+00:00,"RT @badiucao: In  #Wuhan，people are collapsing on streets due to the deadly #WuhanPneumonia .
so helpless.

#WuhanCoronavirus 
#WuhanOutbre…",Fear
55,2020-01-24 09:59:52+00:00,"RT @XHNews: Wuhan will follow Beijing's SARS treatment model to build a special hospital planned to accommodate 1,000 beds. It will be put…",Neutral
56,2020-01-24 09:59:52+00:00,RT @erinhale: A good friend who is home in China for new year’s said the first 20 minutes of news tonight were anchors talking about Xi Jin…,Neutral
57,2020-01-24 09:59:54+00:00,"Meanwhile:

The Chinese city of Wuhan is rapidly building a new 1,000-bed hospital to treat victims of a new coronavirus.
Building machinery, including 35 diggers and 10 bulldozers, 
arrived at the site on Thursday night, 
with the aim to get the new facility ready by Monday. https://t.co/cce4B7svkW",Neutral
58,2020-01-24 09:59:55+00:00,"RT @ConflictsW: Video from inside a hospital in Wuhan
#China #Wuhan #Coronavirus https://t.co/K2HJNwudlw",Neutral
59,2020-01-24 09:59:56+00:00,Wuhan virus: How to keep safe and calm this Chinese New Year  https://t.co/HJUm1EG3uS,Neutral
60,2020-01-24 09:59:57+00:00,RT @ohcahaya: Thought about not going to the masjid because of the wuhan virus but tuhan &gt; wuhan lads,Fear
61,2020-01-24 09:59:58+00:00,"RT @xinyanyu: Video from a chat group shows the dire situation in Wuhan’s overcrowded hospitals. All concerned citizens, sick or not, have…",Fear
62,2020-01-24 09:59:59+00:00,"RT @shawnxyny: 9. One doctor who was early infected is now discharged, and he suspected he was infected through conjunctiva. During his vis…",Neutral
63,2020-01-24 09:58:36+00:00,"RT @badiucao: Likely a video from #Wuhan railway station.
Someone please helps me to verify.

China’s army is locking down the city with as…",Surprise
64,2020-01-24 09:58:38+00:00,"RT @SteveChaoSC: UPDATE: so far 830 cases of the Wuhan coronavirus have been confirmed in mainland China, including 26 deaths.
https://t.co…",Neutral
65,2020-01-24 09:58:38+00:00,"RT @MariettaDaviz: Breaking News: Chinese health authorities imposed a quasi-quarantine today around Wuhan.
The city of 11 million people a…",Neutral
66,2020-01-24 09:58:38+00:00,RT @Terremoti7: ⚠️☣⚠️INCREDIBLE!  THE ENTIRE CITY OF WUHAN HAS BEEN QUARANTED AND COMPLETELY ISOLATED.  NO ONE CAN ENTER AND EXIT FROM THE…,Fear
67,2020-01-24 09:58:38+00:00,"RT @cnni: Authorities in China have imposed indefinite travel restrictions on tens of millions of people across seven cities, in an unprece…",Neutral
68,2020-01-24 09:58:39+00:00,"RT @xinyanyu: Today is the Chinese New Year eve. I have canceled my trip back to #Wuhan, and my family decided not to have any gathering. I…",Sadness
69,2020-01-24 09:58:39+00:00,"RT @BTFKNews: #BREAKING | TO BE CONFIRMED | A person laying on the streets of Wuhan, 20 million on lockdown, the deadly #coronavirus is spr…",Fear
70,2020-01-24 09:58:39+00:00,"RT @suyoutwice: Residents in Wuhan waiting to be treated. Many have been turned away, refuse treatment due to lack of capacity in the hospi…",Neutral
71,2020-01-24 09:58:41+00:00,RT @HopenYourEyes1: EVENT 201: Did This 'EVENT' GO LIVE? Wuhan Global Bank Collaboration https://t.co/HQgqmo6SFt via @YouTube.  What THE EF…,Unrelated
72,2020-01-24 09:58:41+00:00,"RT @XHNews: A race against time! Wuhan follows Beijing's SARS treatment model to build a special hospital in new coronavirus control. 
The…",Neutral
73,2020-01-24 09:58:41+00:00,"RT @Reuters: The Chinese city of Wuhan is rapidly building a new 1,000-bed hospital to treat victims of a new coronavirus, mobilizing machi…",Neutral
74,2020-01-24 09:58:42+00:00,"@coastal2002 @realbillhall @40_head She’s got a cold 🙄

She does what every WI member in the country does - avoid going to a meeting if you have a cold. It stops the virus spreading.

A bit like the Chinese on lock-down in Wuhan.",Fear
75,2020-01-24 09:58:42+00:00,"Disney closes Shanghai park as virus spreads
https://t.co/M9MIsMS2iv",Neutral
76,2020-01-24 09:58:42+00:00,"RT @the852spirit: 0626: Hong Kong, please be safe. Wuhan crisis now spreads to medical staff, who appeared to be breaking down while on the…",Fear
77,2020-01-24 09:58:43+00:00,RT @nytimes: Chinese authorities have encouraged people in the city of Wuhan to wear surgical masks in public to help curb the spread of th…,Neutral
78,2020-01-24 09:58:45+00:00,This is crazy. https://t.co/VX1npH3s2Y,Fear
79,2020-01-24 09:58:45+00:00,"@bobbythekiwi Tautoko Bobby. It's a difficult time 4 the Wuhan people &amp; China. Particularly when the world is constantly watching.

Enjoy yr family reunion dinner &amp; Happy NewYear Eve 2 everyone. Bet yr dinner is glorious. I luv Chinese food. Probably 2 late now but photos of meal wuld be gr8.",Sadness
80,2020-01-24 09:58:45+00:00,"RT @cnni: The man arrived at the hospital in a special isolated gurney called an ISOPOD and has been treated in a two-bed isolated area, sa…",Neutral
81,2020-01-24 09:58:48+00:00,"@ThanchyS It's starting #Xinhua Reported that Wuhan city began to build a hospital to receive patients #โคโรนาไวรัส And has a size of 25,000 square meters. Based on the Beijing Xiaotangshan Hospital, which used to treat SARS patients in 2003, is expected to be ready for use by 3 Feb.",Neutral
82,2020-01-24 09:58:48+00:00,"RT @Pha2703: BLACKPINK's C-fanbases donated to the Red Cross and hospital in Wuhan 

BLACKPINK_4EVER: 
200 protective glasses
200 masks

JE…",Joy
83,2020-01-24 09:58:51+00:00,RT @gamesuwan: ชัตดาวน์  Wuhan Tianhe International Airport #ไวรัสโคโรนา #สาระการบินน่ารู้ https://t.co/ppx9opb9Yr,Neutral
84,2020-01-24 09:58:53+00:00,RT @WilliamYang120: I've been spending the whole day talking to sources in #Wuhan and the more I learned about how the #CCP has been handli…,Surprise
85,2020-01-24 09:58:54+00:00,"RT @babylrocks1: ❗️SARI in Hong Kong❗️#wuhan China has officially been blockade on JAN, 23rd due to the chronic #sari wide spread condition…",Neutral
86,2020-01-24 09:58:54+00:00,RT @MonicaTedde: A man diagnosed with #Wuhan #coronavirus near #Seattle is being treated largely by a robot - CNN https://t.co/RzLGSAABwI,Neutral
87,2020-01-24 09:58:57+00:00,"@Reuters The numbers announced by the China government are far understated. There have been too many videos of Wuhan people with symptoms of the virus being rejected by various hospitals, and some even died at home without being counted in the official figures.",Fear
88,2020-01-24 09:58:57+00:00,"@AuroraIntel The issue w that is it may be Wuhan, but a bag, is a bag. Is there hospital signage or anything else?",Fear
89,2020-01-24 09:58:57+00:00,"HK kids have missed out on a lot of school days in recent years. Influenza A, protests, and now Wuhan flu.",Sadness
90,2020-01-24 09:58:59+00:00,"RT @ChuBailiang: Wuhan feels much like a ghost town, except for the hospitals. Shops are shut. Restaurants are closed. But the mighty Chine…",Neutral
91,2020-01-24 09:59:00+00:00,RT @Gehenna1986B: This deadly #coronavirus was spread fr #Wuhan (China) to many countries just in days and kill 17 ppl. Maybe thousand ppl…,Fear
92,2020-01-24 09:59:00+00:00,RT @titan_plus: Changchun Yatai announced the signing of Serginho from Kashima Antlers. The signing of the 24-year-old midfielder is a sign…,Unrelated
93,2020-01-24 09:59:01+00:00,"RT @ConflictsW: Video today from inside a hospital in Wuhan
#China #Wuhan #Coronavirus https://t.co/HX3NWkE9qM",Neutral
94,2020-01-24 09:59:02+00:00,"RT @jacquemanabat: LOOK: Flights from China arrived at NAIA. 

Civil Aeronautics Board ordered all airlines operating in PH to monitor even…",Neutral
95,2020-01-24 09:59:02+00:00,"RT @DrLeeJones: Overall: for now, no need to panic; but individuals &amp; foreign govts should take sensible precautions to contain the virus.…",Fear
96,2020-01-24 09:59:02+00:00,"There’s significant information gap between ground/insider info and the outside world. I trust my journalist friends in #Wuhan and elsewhere and hospital workers in #China. Most of what they know is not translated, that’s the issue. 1)",Fear
97,2020-01-24 09:59:03+00:00,"If @WHO doesn’t send its own investigation team into China and relies on official figures and info, it’s not helping the world in the most effective way. I repeat, secondary transmission is happening where there is no #Wuhan connection needed anymore for the virus to spread",Fear
98,2020-01-24 09:59:03+00:00,"RT @DGHisham: SINGAPORE: Two more people have tested positive for the Wuhan virus in Singapore, bringing the total number of cases to three…",Neutral
99,2020-01-24 09:59:03+00:00,RT @joshuawongcf: Last year I asked you all to add a 😷 emoji to your Twitter name in support of the #HongKong protests after the government…,Unrelated
